Date,Open,High,Low,Close,Volume,Adj Close
2006-03-13,31.25,32.09,31.02,31.39,7211600,13.50
2006-03-06,31.42,31.58,30.53,31.41,6015000,13.51
2006-02-27,31.90,32.31,31.09,31.15,6066500,13.39
2006-02-20,31.39,31.86,31.19,31.78,6013800,13.66
2006-02-13,31.80,32.22,31.28,31.45,6798900,13.52
2006-02-06,32.49,32.60,31.77,31.86,4650900,13.70
2006-01-30,32.00,32.92,31.67,32.28,5871700,13.88
2006-01-23,30.75,32.28,30.60,32.10,7386200,13.80
2006-01-16,31.32,31.95,30.75,30.97,5808300,13.31
2006-01-09,31.70,31.92,31.05,31.32,5807000,13.46
2006-01-02,32.35,32.57,31.31,31.65,6495600,13.61
2005-12-26,32.47,32.74,32.04,32.35,1300500,13.91
2005-12-19,32.06,32.49,31.83,32.47,2915900,13.96
2005-12-12,31.73,32.22,31.15,32.22,5223800,13.85
2005-12-05,31.75,31.97,31.11,31.55,3774700,13.57
2005-11-28,31.64,32.10,31.10,31.93,4681100,13.73
2005-11-21,30.89,31.45,30.82,31.40,3702900,13.50
2005-11-14,30.42,30.98,30.25,30.66,4643800,13.18
2005-11-07,29.40,30.49,29.40,30.47,4902300,13.10
2005-10-31,29.65,30.17,29.08,29.51,7360800,12.69
2005-10-24,29.36,30.27,29.01,29.40,7292700,12.64
2005-10-17,30.70,30.79,29.36,29.39,6872500,12.64
2005-10-10,31.51,32.03,30.48,30.72,5712000,13.21
2005-10-03,31.41,32.30,31.00,31.44,6989300,13.52
2005-09-26,29.88,31.25,29.84,31.25,6456400,13.44
2005-09-19,29.55,30.33,29.17,29.55,5795000,12.70
2005-09-12,30.20,30.44,29.56,30.20,7743100,12.98
2005-09-05,29.05,30.27,29.01,30.05,4843600,12.92
2005-08-29,27.81,29.08,27.00,29.00,5665300,12.47
2005-08-22,28.79,29.27,28.08,28.08,4062000,12.07
2005-08-15,29.15,29.35,28.39,28.93,4959800,12.44
2005-08-08,28.80,29.71,28.80,29.12,4393300,12.52
2005-08-01,29.30,30.55,28.80,28.83,5625200,12.40
2005-07-25,28.73,29.55,28.48,29.30,5144400,12.60
2005-07-18,28.10,29.09,28.01,28.83,6507900,12.39
2005-07-11,27.33,28.16,27.33,28.02,5176500,12.05
2005-07-04,27.83,27.89,26.35,27.25,5747600,11.72
2005-06-27,27.39,27.91,27.16,27.85,5487800,11.97
2005-06-20,28.34,28.34,27.41,27.44,4601400,11.80
2005-06-13,28.15,28.55,27.84,28.41,6937400,12.22
2005-06-06,27.85,28.19,27.51,28.11,4445100,12.09
2005-05-30,26.88,27.92,26.78,27.58,4470500,11.86
2005-05-23,26.57,27.05,26.35,26.84,4118600,11.54
2005-05-16,25.46,26.47,25.27,26.32,6505100,11.32
2005-05-09,26.33,26.39,25.49,25.67,4926500,11.03
2005-05-02,25.25,26.36,25.15,26.25,5696800,11.29
2005-04-25,25.94,26.49,24.80,25.06,8751300,10.77
2005-04-18,25.44,26.33,25.21,26.01,9507900,11.19
2005-04-11,27.95,28.04,26.02,26.09,7913500,11.22
2005-04-04,27.41,28.30,27.25,28.06,4152000,12.06
2005-03-28,27.37,27.91,26.83,27.67,4284600,11.90
2005-03-21,27.25,27.73,27.17,27.37,4121600,11.77
2005-03-14,27.83,28.41,27.14,27.35,7906600,11.76
2005-03-07,28.89,29.25,27.91,28.05,7646400,12.06
2005-02-28,28.29,28.82,27.90,28.75,4922200,12.36
2005-02-21,28.36,28.51,27.64,28.18,5371900,12.12
2005-02-14,27.87,28.55,27.73,28.39,4945000,12.20
2005-02-07,26.80,27.88,26.80,27.80,5535900,11.95
2005-01-31,26.09,26.85,26.03,26.85,4513300,11.54
2005-01-24,25.88,26.21,25.59,25.92,6103300,11.14
2005-01-17,26.03,26.49,25.88,26.01,5092600,11.19
2005-01-10,26.38,26.49,25.56,26.03,5258800,11.19
2005-01-03,26.42,27.00,26.11,26.44,4661500,11.37
2004-12-27,26.00,26.52,26.00,26.50,1446800,11.39
2004-12-20,25.55,26.18,25.50,26.15,2908300,11.24
2004-12-13,25.90,26.10,25.44,25.49,7602000,10.96
2004-12-06,25.83,26.34,25.24,25.74,6074800,11.07
2004-11-29,25.50,26.16,25.20,25.91,6078800,11.14
2004-11-22,25.41,25.65,25.14,25.58,3540900,11.00
2004-11-15,25.11,25.64,24.77,25.44,6242900,10.94
2004-11-08,25.08,25.59,24.82,25.00,6292000,10.75
2004-11-01,24.50,25.40,24.43,25.05,5652700,10.77
2004-10-25,23.98,24.74,23.75,24.45,5830400,10.51
2004-10-18,23.68,24.66,23.57,24.58,6046500,10.57
2004-10-11,24.10,24.22,23.11,23.64,6618100,10.16
2004-10-04,24.73,24.88,23.99,24.08,6024500,10.35
2004-09-27,22.84,24.38,22.65,24.38,7118700,10.48
2004-09-20,23.28,23.49,22.75,22.91,4895000,9.85
2004-09-13,22.75,23.49,22.75,23.36,5863600,10.04
2004-09-06,22.78,22.90,22.54,22.68,3624700,9.75
2004-08-30,22.53,22.94,22.20,22.77,4746100,9.79
2004-08-23,21.98,22.60,21.85,22.52,4156400,9.68
2004-08-16,21.18,21.88,21.02,21.77,4635200,9.36
2004-08-09,21.99,22.08,21.11,21.33,5146600,9.17
2004-08-02,21.95,22.68,21.81,21.99,7897100,9.45
2004-07-26,21.56,22.34,21.26,22.14,4419400,9.52
2004-07-19,21.90,22.03,21.41,21.56,4468100,9.27
2004-07-12,21.86,22.13,21.80,22.00,5058900,9.46
2004-07-05,21.93,22.19,21.66,22.01,4396200,9.46
2004-06-28,21.81,22.39,21.68,21.92,5602200,9.42
2004-06-21,21.50,21.92,21.09,21.78,5291300,9.36
2004-06-14,21.23,21.44,20.84,21.34,5335700,9.18
2004-06-07,21.62,21.68,21.12,21.25,3636400,9.13
2004-05-31,21.00,21.42,20.83,21.34,3733100,9.18
2004-05-24,20.71,21.36,20.47,20.93,5808400,9.00
2004-05-17,20.41,21.01,20.14,20.69,5525800,8.90
2004-05-10,20.28,20.94,20.10,20.69,6552900,8.90
2004-05-03,21.29,21.50,20.42,20.68,6398700,8.89
2004-04-26,22.31,22.73,20.95,21.52,8873700,9.25
2004-04-19,21.90,22.45,21.69,22.27,5228600,9.58
2004-04-12,21.61,22.19,21.47,22.00,4949900,9.46
2004-04-05,21.66,22.02,21.42,21.61,4160100,9.29
2004-03-29,20.60,21.66,20.49,21.66,5499300,9.31
2004-03-22,20.30,20.86,20.06,20.58,7398100,8.85
2004-03-15,20.83,21.54,20.20,20.50,10807100,8.82
2004-03-08,21.78,21.99,20.21,21.01,6470900,9.03
2004-03-01,21.77,22.20,21.36,21.70,6756100,9.33
2004-02-23,20.91,21.77,20.73,21.40,7422700,9.20
2004-02-16,21.05,21.63,20.82,20.96,6926800,9.01
2004-02-09,21.55,21.94,20.86,20.98,6188500,9.02
2004-02-02,22.25,22.45,21.15,21.50,6672700,9.24
2004-01-26,22.45,22.75,22.05,22.19,5997400,9.54
2004-01-19,22.61,23.08,22.26,22.41,5017100,9.64
2004-01-12,22.25,22.93,22.17,22.61,6273100,9.72
2004-01-05,22.35,22.95,22.14,22.35,5368600,9.61
2003-12-29,21.75,22.61,21.67,22.37,1811700,9.62
2003-12-22,21.45,21.75,21.36,21.65,1242800,9.31
2003-12-15,21.20,21.81,20.82,21.58,7214400,9.28
2003-12-08,21.10,21.80,20.80,21.00,6785700,9.03
2003-12-01,20.88,21.70,20.83,21.37,8605800,9.19
2003-11-24,20.60,21.10,20.35,20.63,6759600,8.87
2003-11-17,20.81,20.97,20.07,20.63,6177200,8.87
2003-11-10,21.33,21.39,20.65,21.15,6738200,9.09
2003-11-03,19.77,21.44,19.75,21.32,9011600,9.16
2003-10-27,19.70,20.30,19.61,19.30,5420200,8.30
2003-10-20,19.76,20.23,19.17,19.47,4571700,8.37
2003-10-13,19.70,20.32,19.50,19.75,4981200,8.49
2003-10-06,19.75,19.80,18.97,19.45,6322000,8.36
2003-09-29,19.30,20.00,18.50,20.75,6772500,8.92
2003-09-22,20.53,20.56,18.76,19.30,8403300,8.30
2003-09-15,20.60,20.95,20.24,20.75,7397700,8.92
2003-09-08,21.15,21.35,20.36,20.46,4780600,8.80
2003-09-01,21.20,21.72,20.98,21.08,5076500,9.07
2003-08-25,21.34,21.67,21.02,20.88,4070300,8.98
2003-08-18,21.02,21.68,20.92,21.40,4527100,9.20
2003-08-11,19.97,21.06,19.75,20.90,5081500,8.98
2003-08-04,21.00,21.34,19.53,19.97,7157000,8.58
2003-07-28,20.38,21.31,20.20,21.14,6286000,9.09
2003-07-21,20.40,20.54,19.65,20.19,5711200,8.68
2003-07-14,19.84,20.48,19.72,20.42,6634100,8.78
2003-07-07,18.90,20.00,18.68,19.85,6675200,8.54
2003-06-30,18.90,18.92,18.10,18.83,6439200,8.10
2003-06-23,19.60,19.64,18.63,20.75,5277400,8.92
2003-06-16,19.08,20.00,18.95,19.60,7791300,8.43
2003-06-09,18.24,19.58,18.17,19.08,5974200,8.20
2003-06-02,18.55,18.75,17.90,18.17,6220800,7.81
2003-05-26,17.25,18.48,16.73,18.42,5891100,7.92
2003-05-19,18.65,18.82,17.14,17.38,6463600,7.47
2003-05-12,18.84,19.39,18.03,18.97,6726400,8.15
2003-05-05,20.44,20.58,18.07,19.00,7273400,8.17
2003-04-28,19.10,20.24,19.05,20.23,4870500,8.70
2003-04-21,19.75,20.61,19.08,19.25,5426000,8.28
2003-04-14,19.50,19.77,18.76,19.75,5957300,8.49
2003-04-07,19.50,20.12,18.55,19.22,8608800,8.26
2003-03-31,17.45,19.16,16.52,19.16,7579000,8.24
2003-03-24,18.73,19.09,16.89,17.68,8087500,7.60
2003-03-17,15.66,19.10,15.06,19.00,15649200,8.17
2003-03-10,16.16,16.43,14.12,15.40,10387800,6.62
2003-03-03,17.08,17.40,15.98,16.26,4997000,6.99
2003-02-24,16.88,17.17,16.17,16.77,6306500,7.21
2003-02-17,17.42,17.59,16.33,17.03,4759500,7.32
2003-02-10,16.58,17.33,16.17,17.30,5459500,7.44
2003-02-03,17.35,17.59,16.38,16.50,5662300,7.09
2003-01-27,16.75,17.30,15.62,17.48,9054000,7.52
2003-01-20,18.00,18.35,16.70,16.77,7342400,7.21
2003-01-13,18.45,18.93,18.06,18.00,5197800,7.74
2003-01-06,19.25,19.87,18.04,18.10,5615500,7.78
2002-12-30,17.90,19.50,17.77,19.02,2293500,8.18
2002-12-23,19.00,19.06,17.80,17.85,1296100,7.67
2002-12-16,18.65,19.40,17.52,17.30,7683000,7.44
2002-12-09,19.57,19.95,18.41,18.98,5525200,8.16
2002-12-02,19.52,20.60,19.45,19.65,7425600,8.45
2002-11-25,19.00,20.05,18.27,19.50,5347000,8.38
2002-11-18,19.14,19.19,18.30,19.04,4247200,8.19
2002-11-11,18.14,19.15,18.11,19.03,5767600,8.18
2002-11-04,18.99,19.70,18.15,18.27,6040800,7.86
2002-10-28,18.49,19.19,17.92,18.50,4923700,7.95
2002-10-21,19.08,19.52,17.83,18.12,4930700,7.79
2002-10-14,18.21,19.45,17.70,19.20,6532300,8.26
2002-10-07,16.80,18.31,16.22,18.43,7407400,7.92
2002-09-30,18.08,18.98,16.55,17.62,9186600,7.58
2002-09-23,19.23,19.68,17.27,18.39,10131000,7.91
2002-09-16,20.42,20.77,18.77,19.50,11096600,8.38
2002-09-09,20.47,20.97,19.81,20.12,5312500,8.65
2002-09-02,20.96,21.00,19.33,20.79,5954000,8.94
2002-08-26,21.23,21.23,19.82,21.10,2376600,9.07
2002-08-19,20.50,21.23,20.12,21.23,4120100,9.13
2002-08-12,21.17,21.44,20.02,20.61,4507300,8.86
2002-08-05,19.51,21.45,18.06,21.48,8018700,9.23
2002-07-29,19.40,20.80,19.06,19.58,7859000,8.42
2002-07-22,19.70,20.07,16.67,19.40,9978500,8.34
2002-07-15,21.48,21.74,19.88,19.40,7466900,8.34
2002-07-08,23.56,23.97,21.29,21.67,6237700,9.32
2002-07-01,23.40,23.88,22.68,23.60,6044700,10.15
2002-06-24,22.98,23.70,22.10,23.40,7701900,10.06
2002-06-17,22.38,23.04,22.06,24.01,9238600,10.32
2002-06-10,23.50,23.58,22.00,21.97,5666600,9.45
2002-06-03,24.75,24.77,22.93,23.15,5878800,9.95
2002-05-27,24.20,24.92,24.11,24.90,4115600,10.71
